ADM2_PCODE,rfh_mean,rfh_median,rfh_std,rfh_cv,rfh_winter,rfh_spring,rfh_summer,rfh_autumn,r1h_mean,r1h_median,r1h_std,r1h_cv,r1h_winter,r1h_spring,r1h_summer,r1h_autumn,r3h_mean,r3h_median,r3h_std,r3h_cv,r3h_winter,r3h_spring,r3h_summer,r3h_autumn
MA008006,17.510846804511278,19.6262,12.973214249032731,0.7408673260558977,30.72644154228856,19.0971631840796,0.8503111111111111,19.1452,52.50714755332497,66.0731,37.24535823043467,0.7093388227309282,95.93441924999999,62.375097263681596,5.517377777777777,45.61352222222222,157.21492607052897,172.3069,100.60978829151719,0.6399506128723562,265.0441,229.86582349999998,64.38755555555556,68.82837777777777
MA008003,13.47321829573935,15.0839,11.044541396930759,0.8197404031094327,23.809828855721392,13.761779104477613,0.5214666666666666,15.638811111111112,40.42093189223058,50.8897,31.631049968333343,0.7825413340955961,77.08345323383085,45.169751990049754,2.7737,36.02937777777778,121.51938352130325,134.2897,83.01093369846652,0.6831085814709887,223.5408089552239,164.0878470149254,43.769999999999996,52.48812222222222
MA008002,12.705605200501255,13.0667,11.014774099251147,0.8669224271832874,23.265596019900496,12.351085323383085,0.4355555555555556,14.615555555555556,38.106615789473686,43.6933,31.471929335573172,0.8258914806144178,75.89331368159203,40.4057987562189,2.3162777777777777,33.20371111111111,114.33305526315789,120.0667,81.55406525835865,0.7133025971417228,218.0533611940299,150.303084079602,40.08443333333334,46.77482222222221
MA005003,4.738096679197995,2.4841,7.658998997032723,1.6164716584738708,12.211124004975126,3.1740055970149252,0.022111111111111113,3.4556166666666663,14.229445864661656,7.8081,21.03915274868148,1.478564446485685,37.887400373134334,10.90261355721393,0.20245,7.617272222222223,42.89723781328321,25.1117,48.98792424395131,1.1419831844926414,100.90069975124378,49.50571604477613,9.01977777777778,11.183788888888888
MA009005,5.475617481203008,5.654,4.096374194696235,0.7481118264302588,9.450037064676618,4.97486815920398,0.5826111111111111,6.842322222222223,16.432632894736845,20.1968,11.417948350360504,0.6948337751777758,29.023546517412935,16.37173631840796,2.154766666666667,17.99063333333333,49.29067374686717,53.041,29.890829116630325,0.6064195687430654,85.38701542288557,63.383011691542286,16.726844444444446,30.905388888888886
MA008004,15.740540037593986,17.6062,12.36878846276723,0.7857918745625107,28.054102736318406,15.573836318407961,0.6742777777777778,18.4759,47.14124461152882,57.0573,35.53720719896252,0.753845332082547,89.6863711442786,50.69473233830847,4.152055555555555,43.33335555555554,140.7702939849624,139.6627,95.01019269581637,0.6749306974237457,253.77670000000003,190.34026417910445,52.39975555555556,64.10117777777776
MA004005,8.889512030075187,10.3414,4.164773429171348,0.4685041670545017,11.629949502487563,10.868262437810944,2.4078555555555554,10.580477777777778,26.686822744360903,31.1915,11.627156205348637,0.4356890408696378,36.68564278606966,31.668000746268657,10.099377777777777,28.0673,80.39354780701754,93.6002,29.767976367062314,0.3702781775288672,110.03031890547264,97.50160621890545,57.71195555555556,55.62205555555556
MA006006,8.22256409774436,7.8518,6.709444630986364,0.8159796082133212,14.485236318407962,8.510928606965173,0.44916666666666666,9.345666666666666,24.669711215538847,31.3978,18.65194008166845,0.7560664135346687,47.12664900497513,27.49168208955223,2.304222222222222,21.373277777777776,73.93711121553885,80.4078,49.772814396671144,0.6731776989714299,131.49947860696517,103.93605746268656,27.654777777777777,31.331444444444447
MA002002,9.204320802005011,9.5575,7.735076978331117,0.8403745528563233,16.497817412935326,9.287005472636816,0.40251111111111115,10.518188888888888,27.602493984962404,35.856,21.410920208037208,0.7756878860186217,53.46978184079602,30.59232064676617,2.0715555555555554,23.83908888888889,82.73890895989976,89.9042,57.02111306625788,0.6891692648968061,149.37403333333333,116.46104900497514,28.769177777777777,34.83081111111111
MA002009,9.836596365914787,11.5602,7.225181339814458,0.7345204653157006,16.980940298507463,10.871385572139305,0.5862999999999998,10.783833333333332,29.492405952380953,39.2024,20.65997323549952,0.7005184069708501,52.814968407960194,35.506099999999996,2.825122222222222,26.378944444444443,88.3968210526316,97.4378,55.40208924273506,0.6267430048162996,144.2943597014925,130.74071791044776,35.97838888888889,41.08531111111112
