ADM2_PCODE,rfh_mean,rfh_median,rfh_std,rfh_cv,rfh_winter,rfh_spring,rfh_summer,rfh_autumn,r1h_mean,r1h_median,r1h_std,r1h_cv,r1h_winter,r1h_spring,r1h_summer,r1h_autumn,r3h_mean,r3h_median,r3h_std,r3h_cv,r3h_winter,r3h_spring,r3h_summer,r3h_autumn,ADM2_EN,ADM1_EN,AREA_SQKM,rwi_mean,rwi_median,rwi_std,rwi_count
MA008006,17.510846804511278,19.6262,12.973214249032733,0.7408673260558977,30.72644154228856,19.0971631840796,0.8503111111111111,19.1452,52.50714755332497,66.0731,37.24535823043467,0.7093388227309282,95.93441925,62.3750972636816,5.517377777777777,45.61352222222222,157.21492607052895,172.3069,100.6097882915172,0.6399506128723562,265.0441,229.8658235,64.38755555555556,68.82837777777777,Province de Sidi Kacem,Rabat Sale Kenitra,3136.86767578,-0.2106111111111111,-0.24,0.3122694958072207,666.0
MA008003,13.47321829573935,15.0839,11.04454139693076,0.8197404031094327,23.809828855721392,13.761779104477611,0.5214666666666666,15.638811111111112,40.42093189223058,50.8897,31.631049968333343,0.7825413340955961,77.08345323383085,45.16975199004976,2.7737,36.02937777777778,121.51938352130324,134.2897,83.01093369846652,0.6831085814709887,223.5408089552239,164.0878470149254,43.77,52.48812222222222,Prefecture of Sale,Rabat Sale Kenitra,714.30450439,0.05753896103896103,-0.0075,0.536608377459482,154.0
MA008002,12.705605200501257,13.0667,11.014774099251149,0.8669224271832874,23.265596019900496,12.351085323383083,0.4355555555555556,14.615555555555556,38.106615789473686,43.6933,31.47192933557317,0.8258914806144178,75.89331368159203,40.4057987562189,2.3162777777777777,33.20371111111111,114.33305526315787,120.0667,81.55406525835865,0.7133025971417228,218.0533611940299,150.303084079602,40.08443333333334,46.77482222222221,Prefecture of Rabat,Rabat Sale Kenitra,113.15081024,0.9227857142857143,1.023,0.38799669310760093,28.0
MA005003,4.738096679197995,2.4841,7.658998997032723,1.6164716584738708,12.211124004975126,3.174005597014925,0.0221111111111111,3.4556166666666663,14.229445864661656,7.8081,21.03915274868148,1.478564446485685,37.887400373134334,10.90261355721393,0.20245,7.617272222222223,42.89723781328321,25.1117,48.98792424395131,1.1419831844926414,100.90069975124378,49.50571604477613,9.01977777777778,11.183788888888888,Province de Tan Tan,Guelmim Oued Noun,9517.46777344,0.5798571428571428,0.502,0.3424925442358459,7.0
MA009005,5.475617481203008,5.654,4.096374194696235,0.7481118264302588,9.450037064676618,4.97486815920398,0.5826111111111111,6.842322222222223,16.432632894736845,20.1968,11.417948350360504,0.6948337751777758,29.02354651741293,16.37173631840796,2.154766666666667,17.99063333333333,49.29067374686717,53.041,29.890829116630325,0.6064195687430654,85.38701542288557,63.383011691542286,16.726844444444446,30.905388888888886,Tata Province,Souss Massa,26512.24414063,-0.24078923766816143,-0.286,0.36419567737025915,223.0
MA008004,15.740540037593986,17.6062,12.36878846276723,0.7857918745625107,28.05410273631841,15.57383631840796,0.6742777777777778,18.4759,47.14124461152882,57.0573,35.53720719896252,0.753845332082547,89.6863711442786,50.69473233830847,4.152055555555555,43.33335555555554,140.7702939849624,139.6627,95.01019269581636,0.6749306974237457,253.77670000000003,190.34026417910445,52.39975555555556,64.10117777777776,Province de Kenitra,Rabat Sale Kenitra,3380.85961914,-0.17799421128798842,-0.238,0.41805347064014237,691.0
MA004005,8.889512030075187,10.3414,4.164773429171348,0.4685041670545017,11.629949502487564,10.868262437810944,2.4078555555555554,10.580477777777778,26.686822744360903,31.1915,11.627156205348635,0.4356890408696378,36.68564278606966,31.668000746268657,10.099377777777775,28.0673,80.39354780701754,93.6002,29.767976367062317,0.3702781775288672,110.03031890547264,97.50160621890544,57.71195555555556,55.62205555555556,Province de Boulemane,Fez Meknes,14224.20898438,-0.3061783355350066,-0.334,0.30658657711237103,757.0
MA006006,8.22256409774436,7.8518,6.709444630986364,0.8159796082133212,14.485236318407962,8.510928606965173,0.4491666666666666,9.345666666666666,24.669711215538847,31.3978,18.65194008166845,0.7560664135346687,47.12664900497513,27.49168208955223,2.304222222222222,21.373277777777776,73.93711121553885,80.4078,49.77281439667114,0.6731776989714299,131.49947860696517,103.93605746268656,27.654777777777777,31.331444444444447,Province de Safi,Marrakech Safi,4093.43823242,-0.28946153846153844,-0.326,0.3291702402327668,923.0
MA002002,9.204320802005013,9.5575,7.735076978331117,0.8403745528563233,16.497817412935326,9.287005472636816,0.4025111111111111,10.518188888888888,27.602493984962404,35.856,21.410920208037208,0.7756878860186217,53.46978184079602,30.59232064676617,2.071555555555556,23.83908888888889,82.73890895989976,89.9042,57.02111306625788,0.6891692648968061,149.37403333333333,116.46104900497514,28.769177777777777,34.83081111111111,El Jadida Province,Casablanca Settat,3865.93017578,-0.2621915367483296,-0.31,0.3426613382105039,898.0
MA002009,9.836596365914788,11.5602,7.225181339814458,0.7345204653157006,16.980940298507463,10.871385572139303,0.5862999999999998,10.783833333333332,29.492405952380956,39.2024,20.65997323549952,0.7005184069708501,52.814968407960194,35.5061,2.825122222222222,26.378944444444443,88.3968210526316,97.4378,55.40208924273506,0.6267430048162996,144.2943597014925,130.74071791044776,35.97838888888889,41.08531111111112,Settat Province,Casablanca Settat,6876.92675781,-0.2618792134831461,-0.288,0.2975350729306318,1424.0
MA001005,11.457544674185463,13.5744,7.380808820895655,0.6441876537060388,18.09015248756219,14.098823880597015,1.6305777777777777,11.87011111111111,34.3586555764411,44.7805,21.19156768125778,0.616775229581111,56.31425049751243,44.44874228855721,6.607155555555554,29.578933333333325,102.9807989348371,119.5773,56.48398719566633,0.548490473757225,156.26606965174128,150.00400074626864,54.04535555555556,50.087944444444446,Province de Khouribga,Beni Mellal Khenifra,4413.95605469,-0.290118291347207,-0.312,0.30992416167800496,913.0
MA009004,8.026914598997495,8.2147,5.772784998728824,0.7191785744736594,12.846405223880597,10.13282288557214,0.8384444444444444,8.185055555555554,24.10605426065163,26.7441,16.40854674335958,0.6806815651345849,39.57842810945274,32.87746990049752,3.327533333333333,20.27345555555556,72.4475429197995,83.7846,43.38494157253535,0.598846279998248,108.94964427860695,114.48836094527364,30.450544444444446,34.71157777777777,Taroudant Province,Souss Massa,15844.20996094,-0.2627156177156177,-0.304,0.3480845176137948,2145.0
MA008005,13.260157706766917,15.0622,9.332710871447873,0.703815978499653,21.524344527363183,14.893753233830846,1.0778111111111113,15.394755555555555,39.74334780701755,53.7463,26.732863032214937,0.6726374225448283,68.10846243781094,47.8396935323383,5.2419777777777785,37.23081111111112,119.06243001253132,133.5813,71.16768421086395,0.5977341820032864,196.2259945273632,167.23888980099505,52.38681111111112,58.498933333333326,Province de Khemisset,Rabat Sale Kenitra,7725.27148438,-0.30802156334231806,-0.34,0.3201389673280489,1484.0
MA006004,6.47317030075188,7.2567,4.220722725263544,0.6520333204849088,9.19918631840796,8.557434079601991,0.8405888888888888,7.222588888888889,19.45057863408521,24.5393,11.81016222744197,0.607188220444292,28.909769651741293,27.140520646766166,3.5517777777777777,17.94041111111111,58.656143358396,70.3187,31.79092033278262,0.5419879063397729,83.40837611940297,89.24257711442787,30.29533333333333,30.83982222222222,Prefecture de Marrakech,Marrakech Safi,2615.40649414,-0.02142589118198874,-0.134,0.4955443052859339,533.0
MA001001,14.241341290726815,15.4511,9.749695147917938,0.6846051189199719,22.391120149253734,19.26808955223881,2.165333333333333,12.941177777777778,42.68173126566417,43.7902,27.80024151480908,0.6513381882701023,68.68105472636816,60.96483557213931,8.569066666666666,31.84102222222222,127.61390789473684,132.729,73.70203703538641,0.5775392216354663,181.81731890547263,204.942415920398,65.86288888888889,55.84010000000001,Province d Azilal,Beni Mellal Khenifra,9589.43164063,-0.27468401937046005,-0.3085,0.3113511332883604,1652.0
MA005002,3.4204534461152885,3.0644,3.1795568887360863,0.9295717479643538,7.352562935323384,2.266162686567164,0.1661333333333333,3.854866666666666,10.311851879699248,8.0909,9.254686119545765,0.8974805134434964,23.161612935323387,8.166287562189053,0.6799000000000001,9.077422222222223,31.614276817042608,26.1221,27.08148167453318,0.8566218936861497,64.59775273631841,40.63327562189055,6.268633333333333,14.321044444444444,Guelmim Province,Guelmim Oued Noun,10854.62402344,-0.1691863354037267,-0.222,0.41008961223385304,161.0
