OBJECTID,date,validOn,validTo,Shape__Area,Shape__Length,ADM2_EN,ADM2_AR,ADM2_PCODE,ADM2_REF,ADM2ALT1_EN,ADM2ALT2_EN,ADM2ALT1_AR,ADM2ALT2_AR,ADM1_EN,ADM1_AR,ADM1_PCODE,ADM0_EN,ADM0_AR,ADM0_PCODE,AREA_SQKM
49,2020-04-30,2020-12-03,,0.1448011359010502,3.093850842623451,Province de Moulay Yacoub, ,MA004006,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,1481.43737793
50,2020-04-30,2020-12-03,,0.3087789580886302,4.542948655040916,Province de Nador, ,MA007007,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,3127.57910156
51,2020-04-30,2020-12-03,,0.3917243120899703,3.7944098530349697,Province de Safi, ,MA006006,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,4093.43823242
52,2020-04-30,2020-12-03,,0.3367808029431999,3.599337923095592,Province de Sefrou, ,MA004007,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,3460.38720703
53,2020-04-30,2020-12-03,,0.314525046413709,3.3340575443036964,Province de Sidi Bennour, ,MA002008,,,,,,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,3273.68457031
54,2020-04-30,2020-12-03,,0.3077978646026701,5.172927826653785,Province de Sidi Kacem, ,MA008006,,,,,,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,3136.86767578
55,2020-04-30,2020-12-03,,0.1458625915348149,2.7837583588713444,Province de Sidi Slimane, ,MA008007,,,,,,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,1489.89294434
56,2020-04-30,2020-12-03,,0.8740741681962179,4.193111944191073,Province de Tan Tan, ,MA005003,,,,,,Guelmim Oued Noun,كلميم - واد نون,MA005,Morocco,المغرب,MA,9517.46777344
57,2020-04-30,2020-12-03,,0.5487646393609896,5.431180852800848,Province de Taounate, ,MA004008,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,5592.61474609
58,2020-04-30,2020-12-03,,0.7367594944412501,4.927249856753273,Province de Taourirt, ,MA007008,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,7536.49023438
59,2020-04-30,2020-12-03,,0.5968909030412706,5.020320418885072,Province de Taza, ,MA004009,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,6095.09375
60,2020-04-30,2020-12-03,,1.271790305202931,8.229403767820953,Province de Tinghir, ,MA003004,,,,,,Draa Tafilalet,درعة - تافيلالت,MA003,Morocco,المغرب,MA,13420.99316406
61,2020-04-30,2020-12-03,,0.2816924586157003,2.785439502343054,Province de Youssoufia, ,MA006007,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,2951.68041992
62,2020-04-30,2020-12-03,,0.525984684595059,4.24432034596721,Rhamna Province, ,MA006008,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,5499.43408203
63,2020-04-30,2020-12-03,,0.662166057162721,5.003164740971171,Settat Province, ,MA002009,,,,,,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,6876.92675781
64,2020-04-30,2020-12-03,,0.28475314032969,4.261446931870569,Sidi Ifni Province, ,MA005004,,,,,,Guelmim Oued Noun,كلميم - واد نون,MA005,Morocco,المغرب,MA,3065.97045898
65,2020-04-30,2020-12-03,,1.4881179631106516,7.331482531838782,Taroudant Province, ,MA009004,,,,,,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,15844.20996094
66,2020-04-30,2020-12-03,,2.468410921474163,10.34048139603537,Tata Province, ,MA009005,,,,,,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,26512.24414063
67,2020-04-30,2020-12-03,,0.1902503179860749,2.586376438261812,Tetouan Province, ,MA010008,,,,,,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,1916.14025879
68,2020-04-30,2020-12-03,,0.4748864511889984,4.964595932917285,Tiznit Province, ,MA009006,,,,,,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,5097.86230469
69,2020-04-30,2020-12-03,,1.96988689827696,7.053954300818677,Zagora Province, ,MA003005,,,,,,Draa Tafilalet,درعة - تافيلالت,MA003,Morocco,المغرب,MA,20998.02148438
